,“PYB” Poly-V “J”,,,,,,,,,
section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
J,20,4,1,-,22.5,-,-,-,5.0,13.5
J,,8,1,-,32.0,-,-,-,5.0,23.0
J,,12,1,-,41.5,-,-,-,5.0,32.5
J,,16,1,-,51.0,-,-,-,5.0,42.0
J,,20,1,-,61.0,-,-,-,5.0,52.0
J,25,4,1,-,22.5,-,-,-,5.0,13.5
J,,8,1,-,32.0,-,-,-,5.0,23.0
J,,12,1,-,41.5,-,-,-,5.0,32.5
J,,16,1,-,51.0,-,-,-,5.0,42.0
J,,20,1,-,61.0,-,-,-,5.0,52.0
J,30,4,1,-,22.5,-,-,-,9.5,13.5
J,,8,1,-,32.0,-,-,-,9.5,23.0
J,,12,1,-,41.5,-,-,-,9.5,32.5
J,,16,1,-,51.0,-,-,-,9.5,42.0
J,,20,1,-,61.0,-,-,-,9.5,52.0
J,35,4,1,-,22.5,-,-,-,9.5,13.5
J,,8,1,-,32.0,-,-,-,9.5,23.0
J,,12,1,-,41.5,-,-,-,9.5,32.5
J,,16,1,-,51.0,-,-,-,9.5,42.0
J,,20,1,-,61.0,-,-,-,9.5,52.0
J,40,4,1,-,22.5,-,-,-,12.0,13.5
J,,8,1,-,32.0,-,-,-,12.0,23.0
J,,12,1,-,41.5,-,-,-,12.0,32.5
J,,16,1,-,51.0,-,-,-,12.0,42.0
J,,20,1,-,61.0,-,-,-,12.0,52.0
J,45,4,1,-,22.5,-,-,-,12.0,13.5
J,,8,1,-,32.0,-,-,-,12.0,23.0
J,,12,1,-,41.5,-,-,-,12.0,32.5
J,,16,1,-,51.0,-,-,-,12.0,42.0
J,,20,1,-,61.0,-,-,-,12.0,52.0
J,50,4,1,-,22.5,-,-,-,12.0,13.5
J,,8,1,-,32.0,-,-,-,12.0,23.0
J,,12,1,-,41.5,-,-,-,12.0,32.5
J,,16,1,-,51.0,-,-,-,12.0,42.0
J,,20,1,-,61.0,-,-,-,12.0,52.0
J,56,4,7,1108,23.0,9.5,50,-,-,13.5
J,,8,3,1108,23.0,-,-,-,-,23.0
J,,12,1,-,41.5,-,-,-,12.0,32.5
J,,16,1,-,51.0,-,-,-,12.0,42.0
J,,20,1,-,61.0,-,-,-,12.0,52.0
J,60,4,7,1108,23.0,9.5,50,-,-,13.5
J,,8,3,1108,23.0,-,-,-,-,23.0
J,,12,2,1108,23.0,9.5,-,45,-,32.5
J,,16,1,-,51.0,-,-,-,12.0,42.0
J,,20,1,-,61.0,-,-,-,12.0,52.0
J,63,4,7,1108,23.0,9.5,50,-,-,13.5
J,,8,3,1108,23.0,-,-,-,-,23.0
J,,12,2,1108,23.0,9.5,-,45,-,32.5
J,,16,1,-,51.0,-,-,-,12.0,42.0
J,,20,1,-,61.0,-,-,-,12.0,52.0
J,67,4,7,1108,23.0,9.5,50,-,-,13.5
J,,8,3,1108,23.0,-,-,-,-,23.0
J,,12,2,1108,23.0,9.5,-,51,-,32.5
J,,16,1,-,51.0,-,-,-,12.0,42.0
J,,20,1,-,61.0,-,-,-,12.0,52.0
J,,,,,,,,,,
J,» “PYB” Poly-V “J”,,,,,,,,,
J,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
J,71,4,7,1108,23,9.5,60,-,-,13.5
J,,8,3,1108,23,-,-,-,-,23.0
J,,12,2,1108,23,9.5,-,55,-,32.5
J,,16,3,1215,42,-,-,55,-,42.0
J,,20,2,1215,42,10.0,-,55,-,52.0
J,75,4,7,1108,23,9.5,60,-,-,13.5
J,,8,3,1108,23,-,-,-,-,23.0
J,,12,2,1210,26,6.5,-,59,-,32.5
J,,16,2,1610,26,16.0,-,59,-,42.0
J,,20,2,1615,42,10.0,-,59,-,52.0
J,80,4,7,1310,26,12.5,70,-,-,13.5
J,,8,7,1310,26,3.0,70,-,-,23.0
J,,12,2,1610,26,6.5,-,64,-,32.5
J,,16,2,1610,26,16.0,-,64,-,42.0
J,,20,2,1615,42,10.0,-,64,-,52.0
J,85,4,7,1310,26,12.5,70,-,-,13.5
J,,8,7,1310,26,3.0,70,-,-,23.0
J,,12,2,1610,26,6.5,-,69,-,32.5
J,,16,2,1610,26,16.0,-,69,-,42.0
J,,20,2,1615,42,10.0,-,69,-,52.0
J,90,4,7,1610,26,12.5,82,-,-,13.5
J,,8,7,1610,26,3.0,82,-,-,23.0
J,,12,2,1610,26,6.5,-,74,-,32.5
J,,16,2,1610,26,16.0,-,74,-,42.0
J,,20,2,1615,42,10.0,-,74,-,52.0
